id,merge_commitid,file,Loc_details,block_text_1,block_text_2,recur_segment,proportion
21,"['1703ba989d8ea7e3cfbf32ac94111087166672de', '26017c68ee11d3f2d54ca731119c8dc4ddb842cf']",telephony/java/android/telephony/CarrierConfigManager.java,"[(5568, 5588, 21), (5979, 5998, 20)]","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","[0.943, 1.0]"
22,"['1703ba989d8ea7e3cfbf32ac94111087166672de', '3e8cb98421761bb7dfafe59a22a15fe2e176f272']",telephony/java/android/telephony/CarrierConfigManager.java,"[(5568, 5588, 21), (5765, 5785, 21)]","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","[1.0, 1.0]"
23,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '2051462f672b5986ef321bf1de3657e7653864e8']",core/java/android/app/ActivityManagerInternal.java,"[(587, 588, 2), (574, 575, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
24,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '2051462f672b5986ef321bf1de3657e7653864e8']",services/core/java/com/android/server/BluetoothManagerService.java,"[(1129, 1131, 3), (1111, 1113, 3)]","                if (mBluetoothGatt != null) {
                    mBluetoothGatt.unregAll(mContext.getAttributionSource());
                }
","                if (mBluetoothGatt != null) {
                    mBluetoothGatt.unregAll();
                }
","                if (mBluetoothGatt != null) {
                    mBluetoothGatt.unregAll(","[0.634, 0.811]"
25,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '219787565ff982848d596fa8743cd132af113e6b']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(592, 593, 2), (610, 611, 2)]","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[1.0, 1.0]"
26,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '24818fca475a6726f5ef0cae42149615079af6e9']",core/java/android/app/ActivityManagerInternal.java,"[(587, 588, 2), (542, 543, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
27,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '24818fca475a6726f5ef0cae42149615079af6e9']",services/core/java/com/android/server/locksettings/LockSettingsService.java,"[(230, 231, 2), (228, 229, 2)]","    private static String mSavePassword = DEFAULT_PASSWORD;

","    private static String mSavePassword = DEFAULT_PASSWORD;

","    private static String mSavePassword = DEFAULT_PASSWORD;

","[1.0, 1.0]"
28,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '26017c68ee11d3f2d54ca731119c8dc4ddb842cf']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(592, 593, 2), (718, 719, 2)]","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            FeatureFlags featureFlags,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
",",
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[0.694, 0.694]"
29,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '3933f277a025be704e68ea593536e492831a7e05']",core/java/android/app/ActivityManagerInternal.java,"[(587, 588, 2), (479, 480, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
30,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '71c831703ae59baf47e0afe611fecd714c481cdf']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(592, 593, 2), (613, 614, 2)]","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","[1.0, 1.0]"
31,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '9272406e82304c5a2a8124c75eedb4b5fdf7273a']",core/java/android/app/ActivityManagerInternal.java,"[(587, 588, 2), (444, 445, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
32,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', '9d10272031d3f400d399db45927abf3be739b074']",packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelViewController.java,"[(592, 593, 2), (725, 726, 2)]","            @Main Executor uiExecutor,
            EmergencyButtonController.Factory emergencyButtonControllerFactory) {
","            EmergencyButtonController.Factory emergencyButtonControllerFactory,
            NotificationRemoteInputManager remoteInputManager) {
",            EmergencyButtonController.Factory emergencyButtonControllerFactory,"[0.645, 0.538]"
33,"['1b62159ffcebb2c102e129b2e778a8f65b7e5948', 'e85435d4d9a2f7122bd5c97ad0a25c768d124a0e']",core/java/android/app/ActivityManagerInternal.java,"[(587, 588, 2), (490, 491, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
34,"['2051462f672b5986ef321bf1de3657e7653864e8', '21cdef883cc867db55340b25d5c95e19b12ab383']",telephony/java/android/telephony/CarrierConfigManager.java,"[(4976, 5013, 38), (4871, 4908, 38)]","     /**
     * Flag indicating whether carrier supports multianchor conference.
     * In multianchor conference, a participant of a conference can add
     * other participants to the call using merge button thereby resulting
     * in a conference with multi anchors.
     * @hide
     */
    public static final String KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE =
            ""carrier_supports_multianchor_conference"";

    /**
     * String array of APN configurations of same MVNO type GID.
     * The entries should be of form ""GID data:all supported apn types:devicecapability:apnname"".
     * example: 52FF:default,mms:SA:nrphone
     *
     * @hide
     */
    public static final String KEY_MULTI_APN_ARRAY_FOR_SAME_GID = ""multi_apn_array_for_same_gid"";

    /**
     * Flag indicating if APN filtering required.
     *
     * @hide
     */
    public static final String KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY =
            ""require_apn_filtering_with_radio_capability_bool"";

    /**
     * Determines whether carrier supports Sms Callback Mode.
     * When {@code true}, modem can enter/exit SMS callback mode (SCBM) after sending e911 SMS.
     * When user tries to make a following e911 call and modem is in SCBM, the same sub will be
     * selected to place the e911 call over IMS.
     * When {@code false}, follows the current slot selection logic to place the e911 call.
     *
     * @hide
     */
    public static final String KEY_USE_SMS_CALLBACK_MODE_BOOL =
            ""use_sms_callback_mode_bool"";
","     /**
     * Flag indicating whether carrier supports multianchor conference.
     * In multianchor conference, a participant of a conference can add
     * other participants to the call using merge button thereby resulting
     * in a conference with multi anchors.
     * @hide
     */
    public static final String KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE =
            ""carrier_supports_multianchor_conference"";

    /**
     * String array of APN configurations of same MVNO type GID.
     * The entries should be of form ""GID data:all supported apn types:devicecapability:apnname"".
     * example: 52FF:default,mms:SA:nrphone
     *
     * @hide
     */
    public static final String KEY_MULTI_APN_ARRAY_FOR_SAME_GID = ""multi_apn_array_for_same_gid"";

    /**
     * Flag indicating if APN filtering required.
     *
     * @hide
     */
    public static final String KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY =
            ""require_apn_filtering_with_radio_capability_bool"";

    /**
     * Determines whether carrier supports Sms Callback Mode.
     * When {@code true}, modem can enter/exit SMS callback mode (SCBM) after sending e911 SMS.
     * When user tries to make a following e911 call and modem is in SCBM, the same sub will be
     * selected to place the e911 call over IMS.
     * When {@code false}, follows the current slot selection logic to place the e911 call.
     *
     * @hide
     */
    public static final String KEY_USE_SMS_CALLBACK_MODE_BOOL =
            ""use_sms_callback_mode_bool"";
","     /**
     * Flag indicating whether carrier supports multianchor conference.
     * In multianchor conference, a participant of a conference can add
     * other participants to the call using merge button thereby resulting
     * in a conference with multi anchors.
     * @hide
     */
    public static final String KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE =
            ""carrier_supports_multianchor_conference"";

    /**
     * String array of APN configurations of same MVNO type GID.
     * The entries should be of form ""GID data:all supported apn types:devicecapability:apnname"".
     * example: 52FF:default,mms:SA:nrphone
     *
     * @hide
     */
    public static final String KEY_MULTI_APN_ARRAY_FOR_SAME_GID = ""multi_apn_array_for_same_gid"";

    /**
     * Flag indicating if APN filtering required.
     *
     * @hide
     */
    public static final String KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY =
            ""require_apn_filtering_with_radio_capability_bool"";

    /**
     * Determines whether carrier supports Sms Callback Mode.
     * When {@code true}, modem can enter/exit SMS callback mode (SCBM) after sending e911 SMS.
     * When user tries to make a following e911 call and modem is in SCBM, the same sub will be
     * selected to place the e911 call over IMS.
     * When {@code false}, follows the current slot selection logic to place the e911 call.
     *
     * @hide
     */
    public static final String KEY_USE_SMS_CALLBACK_MODE_BOOL =
            ""use_sms_callback_mode_bool"";
","[1.0, 1.0]"
35,"['2051462f672b5986ef321bf1de3657e7653864e8', '21cdef883cc867db55340b25d5c95e19b12ab383']",telephony/java/android/telephony/CarrierConfigManager.java,"[(5599, 5619, 21), (5475, 5495, 21)]","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","        sDefaults.putBoolean(KEY_CARRIER_SUPPORTS_MULTIANCHOR_CONFERENCE, false);
        sDefaults.putStringArray(KEY_MULTI_APN_ARRAY_FOR_SAME_GID, new String[] {
                ""52FF:mms,supl,hipri,default,fota:SA:nrphone"",
                ""52FF:mms,supl,hipri,default,fota:NSA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""52FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:SA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:NSA:enhancedphone"",
                ""53FF:mms,supl,hipri,default,fota:LTE:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:TD_SCDMA:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:UMTS:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:GSM:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:HDR:nxtgenphone"",
                ""53FF:mms,supl,hipri,default,fota:1xRTT:nxtgenphone"",
        });
        sDefaults.putBoolean(KEY_REQUIRE_APN_FILTERING_WITH_RADIO_CAPABILITY, false);
        sDefaults.putBoolean(KEY_USE_SMS_CALLBACK_MODE_BOOL, false);
","[1.0, 1.0]"
36,"['2051462f672b5986ef321bf1de3657e7653864e8', '21cdef883cc867db55340b25d5c95e19b12ab383']",services/core/java/com/android/server/BluetoothManagerService.java,"[(2816, 2817, 2), (2739, 2740, 2)]","        intent.setFlags(Intent.FLAG_RECEIVER_FOREGROUND);
        mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_CONNECT);
","        intent.setFlags(Intent.FLAG_RECEIVER_FOREGROUND);
        mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_PERM);
","        intent.setFlags(Intent.FLAG_RECEIVER_FOREGROUND);
        mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_","[0.928, 0.949]"
37,"['2051462f672b5986ef321bf1de3657e7653864e8', '21cdef883cc867db55340b25d5c95e19b12ab383']",services/core/java/com/android/server/BluetoothManagerService.java,"[(2899, 2900, 2), (2822, 2823, 2)]","            intent.addFlags(Intent.FLAG_RECEIVER_INCLUDE_BACKGROUND);
            mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_CONNECT);
","            intent.addFlags(Intent.FLAG_RECEIVER_INCLUDE_BACKGROUND);
            mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_PERM);
","            intent.addFlags(Intent.FLAG_RECEIVER_INCLUDE_BACKGROUND);
            mContext.sendBroadcastAsUser(intent, UserHandle.ALL, BLUETOOTH_","[0.935, 0.954]"
38,"['2051462f672b5986ef321bf1de3657e7653864e8', '24818fca475a6726f5ef0cae42149615079af6e9']",core/java/android/app/ActivityManagerInternal.java,"[(574, 575, 2), (542, 543, 2)]","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","    // Starts a process as empty.
    public abstract int startActivityAsUserEmpty(Bundle options);
","[1.0, 1.0]"
